%frequency	 %AdV2017-WB	 %AdV2019-WB
   1.6752310e+01   9.5486423e-22   9.5513078e-22
   1.6790941e+01   1.6092084e-21   1.6093651e-21
   1.6829661e+01   5.4258357e-21   5.4258817e-21
   1.6868470e+01   3.8268590e-21   3.8269236e-21
   1.6907369e+01   1.4126858e-21   1.4128592e-21
   1.6946357e+01   8.6777447e-22   8.6805405e-22
   1.6985436e+01   6.2874315e-22   6.2912527e-22
   1.7024604e+01   4.9540496e-22   4.9588522e-22
   1.7063863e+01   4.1090391e-22   4.1147728e-22
   1.7103213e+01   3.5291186e-22   3.5357290e-22
   1.7142653e+01   3.1087356e-22   3.1161662e-22
   1.7182184e+01   2.7915229e-22   2.7997165e-22
   1.7221806e+01   2.5446536e-22   2.5535537e-22
   1.7261520e+01   2.3477293e-22   2.3572808e-22
   1.7301325e+01   2.1874203e-22   2.1975707e-22
   1.7341222e+01   2.0546598e-22   2.0653595e-22
   1.7381211e+01   1.9430758e-22   1.9542784e-22
   1.7421292e+01   1.8480674e-22   1.8597299e-22
   1.7461466e+01   1.7662360e-22   1.7783185e-22
   1.7501732e+01   1.6950216e-22   1.7074878e-22
   1.7542091e+01   1.6324637e-22   1.6452801e-22
   1.7582543e+01   1.5770384e-22   1.5901747e-22
   1.7623089e+01   1.5275460e-22   1.5409745e-22
   1.7663728e+01   1.4830312e-22   1.4967268e-22
   1.7704460e+01   1.4427251e-22   1.4566650e-22
   1.7745287e+01   1.4060037e-22   1.4201671e-22
   1.7786208e+01   1.3723556e-22   1.3867237e-22
   1.7827223e+01   1.3413589e-22   1.3559147e-22
   1.7868333e+01   1.3126630e-22   1.3273910e-22
   1.7909537e+01   1.2859746e-22   1.3008607e-22
   1.7950837e+01   1.2610465e-22   1.2760779e-22
   1.7992231e+01   1.2376699e-22   1.2528350e-22
   1.8033722e+01   1.2156669e-22   1.2309549e-22
   1.8075308e+01   1.1948853e-22   1.2102865e-22
   1.8116989e+01   1.1751943e-22   1.1907000e-22
   1.8158767e+01   1.1564813e-22   1.1720832e-22
   1.8200642e+01   1.1386483e-22   1.1543391e-22
   1.8242612e+01   1.1216104e-22   1.1373831e-22
   1.8284680e+01   1.1052932e-22   1.1211417e-22
   1.8326845e+01   1.0896317e-22   1.1055501e-22
   1.8369106e+01   1.0745686e-22   1.0905515e-22
   1.8411466e+01   1.0600532e-22   1.0760959e-22
   1.8453923e+01   1.0460410e-22   1.0621387e-22
   1.8496478e+01   1.0324922e-22   1.0486408e-22
   1.8539131e+01   1.0193713e-22   1.0355670e-22
   1.8581882e+01   1.0066469e-22   1.0228859e-22
   1.8624732e+01   9.9429070e-23   1.0105697e-22
   1.8667681e+01   9.8227730e-23   9.9859316e-23
   1.8710728e+01   9.7058387e-23   9.8693366e-23
   1.8753876e+01   9.5918984e-23   9.7557081e-23
   1.8797122e+01   9.4807658e-23   9.6448618e-23
   1.8840468e+01   9.3722723e-23   9.5366306e-23
   1.8883915e+01   9.2662646e-23   9.4308628e-23
   1.8927461e+01   9.1626034e-23   9.3274202e-23
   1.8971108e+01   9.0611614e-23   9.2261772e-23
   1.9014856e+01   8.9618225e-23   9.1270185e-23
   1.9058704e+01   8.8644804e-23   9.0298389e-23
   1.9102653e+01   8.7690373e-23   8.9345417e-23
   1.9146704e+01   8.6754037e-23   8.8410382e-23
   1.9190857e+01   8.5834968e-23   8.7492466e-23
   1.9235111e+01   8.4932405e-23   8.6590915e-23
   1.9279467e+01   8.4045644e-23   8.5705032e-23
   1.9323926e+01   8.3174033e-23   8.4834172e-23
   1.9368487e+01   8.2316968e-23   8.3977736e-23
   1.9413151e+01   8.1473887e-23   8.3135169e-23
   1.9457918e+01   8.0644269e-23   8.2305955e-23
   1.9502788e+01   7.9827626e-23   8.1489611e-23
   1.9547762e+01   7.9023505e-23   8.0685689e-23
   1.9592839e+01   7.8231482e-23   7.9893769e-23
   1.9638020e+01   7.7451160e-23   7.9113457e-23
   1.9683305e+01   7.6682166e-23   7.8344385e-23
   1.9728695e+01   7.5924151e-23   7.7586207e-23
   1.9774190e+01   7.5176787e-23   7.6838599e-23
   1.9819789e+01   7.4439765e-23   7.6101253e-23
   1.9865494e+01   7.3712792e-23   7.5373883e-23
   1.9911304e+01   7.2995596e-23   7.4656214e-23
   1.9957219e+01   7.2287914e-23   7.3947990e-23
   2.0003241e+01   7.1589503e-23   7.3248968e-23
   2.0049369e+01   7.0900128e-23   7.2558916e-23
   2.0095603e+01   7.0219568e-23   7.1877615e-23
   2.0141943e+01   6.9547615e-23   7.1204858e-23
