%frequency	 %AdV2015	 %AdV2017	 %AdV2019
   1.5561950e+01   2.1111133e-22   2.0131026e-22   2.0728289e-22
   1.5597836e+01   2.1026817e-22   2.0052771e-22   2.0646594e-22
   1.5633805e+01   2.0951543e-22   1.9983945e-22   2.0574084e-22
   1.5669857e+01   2.0886184e-22   1.9925460e-22   2.0511647e-22
   1.5705991e+01   2.0831745e-22   1.9878366e-22   2.0460306e-22
   1.5742210e+01   2.0789395e-22   1.9843878e-22   2.0421247e-22
   1.5778511e+01   2.0760490e-22   1.9823405e-22   2.0395845e-22
   1.5814897e+01   2.0746613e-22   1.9818590e-22   2.0385706e-22
   1.5851366e+01   2.0749622e-22   1.9831358e-22   2.0392712e-22
   1.5887919e+01   2.0771704e-22   1.9863971e-22   2.0419080e-22
   1.5924557e+01   2.0815451e-22   1.9919103e-22   2.0467431e-22
   1.5961279e+01   2.0883947e-22   1.9999933e-22   2.0540886e-22
   1.5998086e+01   2.0980887e-22   2.0110259e-22   2.0643178e-22
   1.6034978e+01   2.1110725e-22   2.0254650e-22   2.0778805e-22
   1.6071954e+01   2.1278866e-22   2.0438641e-22   2.0953222e-22
   1.6109016e+01   2.1491923e-22   2.0668984e-22   2.1173093e-22
   1.6146164e+01   2.1758049e-22   2.0953987e-22   2.1446632e-22
   1.6183397e+01   2.2087389e-22   2.1303967e-22   2.1784050e-22
   1.6220716e+01   2.2492702e-22   2.1731862e-22   2.2198175e-22
   1.6258121e+01   2.2990210e-22   2.2254090e-22   2.2705304e-22
   1.6295613e+01   2.3600813e-22   2.2891754e-22   2.3326417e-22
   1.6333190e+01   2.4351829e-22   2.3672379e-22   2.4088914e-22
   1.6370855e+01   2.5279581e-22   2.4632495e-22   2.5029199e-22
   1.6408606e+01   2.6433322e-22   2.5821552e-22   2.6196604e-22
   1.6446445e+01   2.7881416e-22   2.7308087e-22   2.7659563e-22
   1.6484370e+01   2.9721427e-22   2.9189802e-22   2.9515699e-22
   1.6522383e+01   3.2097385e-22   3.1610810e-22   3.1909076e-22
   1.6560484e+01   3.5230967e-22   3.4792801e-22   3.5061381e-22
   1.6598673e+01   3.9481824e-22   3.9095347e-22   3.9332238e-22
   1.6636949e+01   4.5474684e-22   4.5142986e-22   4.5346301e-22
   1.6675314e+01   5.4399147e-22   5.4125013e-22   5.4293053e-22
   1.6713768e+01   6.8836157e-22   6.8621942e-22   6.8753269e-22
   1.6752310e+01   9.5637543e-22   9.5485055e-22   9.5578559e-22
   1.6790941e+01   1.6100963e-21   1.6092003e-21   1.6097498e-21
   1.6829661e+01   5.4260963e-21   5.4258333e-21   5.4259947e-21
   1.6868470e+01   3.8272247e-21   3.8268555e-21   3.8270821e-21
   1.6907369e+01   1.4136658e-21   1.4126763e-21   1.4132842e-21
   1.6946357e+01   8.6935232e-22   8.6775889e-22   8.6873847e-22
   1.6985436e+01   6.3089639e-22   6.2872151e-22   6.3005964e-22
   1.7024604e+01   4.9810647e-22   4.9537732e-22   4.9705798e-22
   1.7063863e+01   4.1412313e-22   4.1087039e-22   4.1287543e-22
   1.7103213e+01   3.5661597e-22   3.5287259e-22   3.5518242e-22
   1.7142653e+01   3.1502864e-22   3.1082872e-22   3.1342301e-22
   1.7182184e+01   2.8372425e-22   2.7910208e-22   2.8196029e-22
   1.7221806e+01   2.5942073e-22   2.5440998e-22   2.5751188e-22
   1.7261520e+01   2.4007944e-22   2.3471258e-22   2.3803860e-22
   1.7301325e+01   2.2436903e-22   2.1867692e-22   2.2220838e-22
   1.7341222e+01   2.1138469e-22   2.0539631e-22   2.0911564e-22
   1.7381211e+01   2.0049128e-22   1.9423355e-22   1.9812435e-22
   1.7421292e+01   1.9123076e-22   1.8472854e-22   1.8877563e-22
   1.7461466e+01   1.8326530e-22   1.7654139e-22   1.8073083e-22
   1.7501732e+01   1.7634091e-22   1.6941611e-22   1.7373513e-22
   1.7542091e+01   1.7026338e-22   1.6315663e-22   1.6759357e-22
   1.7582543e+01   1.6488207e-22   1.5761055e-22   1.6215481e-22
   1.7623089e+01   1.6007862e-22   1.5265789e-22   1.5729985e-22
   1.7663728e+01   1.5575895e-22   1.4820310e-22   1.5293404e-22
   1.7704460e+01   1.5184754e-22   1.4416929e-22   1.4898131e-22
   1.7745287e+01   1.4828317e-22   1.4049405e-22   1.4537997e-22
   1.7786208e+01   1.4501582e-22   1.3712623e-22   1.4207958e-22
   1.7827223e+01   1.4200427e-22   1.3402363e-22   1.3903854e-22
   1.7868333e+01   1.3921435e-22   1.3115119e-22   1.3622232e-22
   1.7909537e+01   1.3661751e-22   1.2847955e-22   1.3360207e-22
   1.7950837e+01   1.3418977e-22   1.2598402e-22   1.3115353e-22
   1.7992231e+01   1.3191087e-22   1.2364369e-22   1.2885619e-22
   1.8033722e+01   1.2976358e-22   1.2144076e-22   1.2669263e-22
   1.8075308e+01   1.2773322e-22   1.1936002e-22   1.2464793e-22
   1.8116989e+01   1.2580716e-22   1.1738839e-22   1.2270932e-22
   1.8158767e+01   1.2397454e-22   1.1551459e-22   1.2086577e-22
   1.8200642e+01   1.2222595e-22   1.1372883e-22   1.1910772e-22
   1.8242612e+01   1.2055323e-22   1.1202261e-22   1.1742690e-22
   1.8284680e+01   1.1894924e-22   1.1038849e-22   1.1581604e-22
   1.8326845e+01   1.1740775e-22   1.0881996e-22   1.1426881e-22
   1.8369106e+01   1.1592327e-22   1.0731129e-22   1.1277963e-22
   1.8411466e+01   1.1449098e-22   1.0585742e-22   1.1134359e-22
   1.8453923e+01   1.1310659e-22   1.0445388e-22   1.0995634e-22
   1.8496478e+01   1.1176632e-22   1.0309669e-22   1.0861402e-22
   1.8539131e+01   1.1046680e-22   1.0178232e-22   1.0731320e-22
   1.8581882e+01   1.0920503e-22   1.0050761e-22   1.0605081e-22
   1.8624732e+01   1.0797830e-22   9.9269728e-23   1.0482412e-22
   1.8667681e+01   1.0678422e-22   9.8066137e-23   1.0363067e-22
   1.8710728e+01   1.0562061e-22   9.6894553e-23   1.0246824e-22
   1.8753876e+01   1.0448551e-22   9.5752917e-23   1.0133483e-22
   1.8797122e+01   1.0337716e-22   9.4639366e-23   1.0022866e-22
   1.8840468e+01   1.0229395e-22   9.3552211e-23   9.9148076e-23
   1.8883915e+01   1.0123445e-22   9.2489920e-23   9.8091607e-23
   1.8927461e+01   1.0019732e-22   9.1451098e-23   9.7057901e-23
   1.8971108e+01   9.9181358e-23   9.0434472e-23   9.6045730e-23
   1.9014856e+01   9.8185469e-23   8.9438881e-23   9.5053971e-23
   1.9058704e+01   9.7208645e-23   8.8463259e-23   9.4081594e-23
   1.9102653e+01   9.6249961e-23   8.7506629e-23   9.3127658e-23
   1.9146704e+01   9.5308570e-23   8.6568095e-23   9.2191295e-23
   1.9190857e+01   9.4383689e-23   8.5646829e-23   9.1271708e-23
   1.9235111e+01   9.3474600e-23   8.4742070e-23   9.0368160e-23
   1.9279467e+01   9.2580635e-23   8.3853112e-23   8.9479972e-23
   1.9323926e+01   9.1701180e-23   8.2979303e-23   8.8606514e-23
   1.9368487e+01   9.0835663e-23   8.2120040e-23   8.7747203e-23
   1.9413151e+01   8.9983553e-23   8.1274759e-23   8.6901496e-23
   1.9457918e+01   8.9144357e-23   8.0442938e-23   8.6068889e-23
   1.9502788e+01   8.8317616e-23   7.9624091e-23   8.5248912e-23
   1.9547762e+01   8.7502900e-23   7.8817764e-23   8.4441128e-23
   1.9592839e+01   8.6699808e-23   7.8023532e-23   8.3645126e-23
   1.9638020e+01   8.5907965e-23   7.7240997e-23   8.2860522e-23
   1.9683305e+01   8.5127019e-23   7.6469788e-23   8.2086958e-23
   1.9728695e+01   8.4356639e-23   7.5709554e-23   8.1324095e-23
   1.9774190e+01   8.3596515e-23   7.4959968e-23   8.0571616e-23
   1.9819789e+01   8.2846355e-23   7.4220719e-23   7.9829222e-23
   1.9865494e+01   8.2105883e-23   7.3491516e-23   7.9096631e-23
   1.9911304e+01   8.1374837e-23   7.2772085e-23   7.8373578e-23
   1.9957219e+01   8.0652973e-23   7.2062164e-23   7.7659811e-23
   2.0003241e+01   7.9940057e-23   7.1361509e-23   7.6955092e-23
   2.0049369e+01   7.9235868e-23   7.0669885e-23   7.6259196e-23
   2.0095603e+01   7.8540197e-23   6.9987072e-23   7.5571908e-23
   2.0141943e+01   7.7852845e-23   6.9312860e-23   7.4893026e-23
   2.0188391e+01   7.7173622e-23   6.8647048e-23   7.4222355e-23
   2.0234945e+01   7.6502348e-23   6.7989448e-23   7.3559712e-23
   2.0281607e+01   7.5838850e-23   6.7339877e-23   7.2904921e-23
   2.0328377e+01   7.5182965e-23   6.6698163e-23   7.2257814e-23
   2.0375254e+01   7.4534536e-23   6.6064141e-23   7.1618232e-23
   2.0422240e+01   7.3893412e-23   6.5437653e-23   7.0986020e-23
   2.0469333e+01   7.3259450e-23   6.4818547e-23   7.0361033e-23
   2.0516536e+01   7.2632511e-23   6.4206680e-23   6.9743130e-23
   2.0563847e+01   7.2012465e-23   6.3601911e-23   6.9132175e-23
   2.0611268e+01   7.1399182e-23   6.3004109e-23   6.8528040e-23
   2.0658797e+01   7.0792543e-23   6.2413144e-23   6.7930599e-23
   2.0706437e+01   7.0192428e-23   6.1828894e-23   6.7339734e-23
   2.0754186e+01   6.9598724e-23   6.1251240e-23   6.6755327e-23
   2.0802045e+01   6.9011323e-23   6.0680069e-23   6.6177269e-23
   2.0850015e+01   6.8430120e-23   6.0115268e-23   6.5605451e-23
   2.0898095e+01   6.7855011e-23   5.9556733e-23   6.5039771e-23
   2.0946286e+01   6.7285900e-23   5.9004361e-23   6.4480127e-23
   2.0994589e+01   6.6722690e-23   5.8458053e-23   6.3926423e-23
   2.1043002e+01   6.6165291e-23   5.7917712e-23   6.3378566e-23
   2.1091528e+01   6.5613612e-23   5.7383245e-23   6.2836464e-23
   2.1140165e+01   6.5067568e-23   5.6854563e-23   6.2300029e-23
   2.1188914e+01   6.4527074e-23   5.6331578e-23   6.1769176e-23
   2.1237776e+01   6.3992049e-23   5.5814205e-23   6.1243822e-23
   2.1286750e+01   6.3462414e-23   5.5302363e-23   6.0723886e-23
   2.1335838e+01   6.2938092e-23   5.4795971e-23   6.0209291e-23
   2.1385039e+01   6.2419008e-23   5.4294951e-23   5.9699960e-23
   2.1434353e+01   6.1905090e-23   5.3799229e-23   5.9195819e-23
   2.1483780e+01   6.1396267e-23   5.3308730e-23   5.8696796e-23
   2.1533322e+01   6.0892469e-23   5.2823384e-23   5.8202821e-23
   2.1582978e+01   6.0393630e-23   5.2343120e-23   5.7713825e-23
   2.1632749e+01   5.9899684e-23   5.1867870e-23   5.7229742e-23
   2.1682634e+01   5.9410566e-23   5.1397569e-23   5.6750506e-23
   2.1732634e+01   5.8926215e-23   5.0932151e-23   5.6276053e-23
   2.1782750e+01   5.8446568e-23   5.0471553e-23   5.5806322e-23
   2.1832981e+01   5.7971567e-23   5.0015714e-23   5.5341252e-23
   2.1883328e+01   5.7501153e-23   4.9564573e-23   5.4880783e-23
   2.1933791e+01   5.7035269e-23   4.9118072e-23   5.4424857e-23
   2.1984371e+01   5.6573860e-23   4.8676153e-23   5.3973419e-23
   2.2035067e+01   5.6116869e-23   4.8238759e-23   5.3526411e-23
   2.2085880e+01   5.5664244e-23   4.7805835e-23   5.3083779e-23
   2.2136810e+01   5.5215933e-23   4.7377327e-23   5.2645471e-23
   2.2187858e+01   5.4771884e-23   4.6953183e-23   5.2211433e-23
   2.2239023e+01   5.4332046e-23   4.6533350e-23   5.1781615e-23
   2.2290306e+01   5.3896371e-23   4.6117778e-23   5.1355967e-23
   2.2341708e+01   5.3464809e-23   4.5706416e-23   5.0934438e-23
   2.2393228e+01   5.3037314e-23   4.5299216e-23   5.0516981e-23
   2.2444867e+01   5.2613837e-23   4.4896130e-23   5.0103548e-23
   2.2496625e+01   5.2194335e-23   4.4497110e-23   4.9694092e-23
   2.2548503e+01   5.1778760e-23   4.4102111e-23   4.9288569e-23
   2.2600500e+01   5.1367070e-23   4.3711087e-23   4.8886932e-23
   2.2652617e+01   5.0959221e-23   4.3323993e-23   4.8489137e-23
   2.2704854e+01   5.0555169e-23   4.2940785e-23   4.8095141e-23
   2.2757211e+01   5.0154874e-23   4.2561421e-23   4.7704902e-23
   2.2809689e+01   4.9758293e-23   4.2185859e-23   4.7318376e-23
   2.2862289e+01   4.9365386e-23   4.1814055e-23   4.6935524e-23
   2.2915009e+01   4.8976113e-23   4.1445970e-23   4.6556304e-23
   2.2967852e+01   4.8590435e-23   4.1081563e-23   4.6180676e-23
   2.3020816e+01   4.8208312e-23   4.0720795e-23   4.5808600e-23
   2.3073902e+01   4.7829707e-23   4.0363626e-23   4.5440039e-23
   2.3127110e+01   4.7454583e-23   4.0010018e-23   4.5074953e-23
   2.3180442e+01   4.7082901e-23   3.9659933e-23   4.4713306e-23
   2.3233896e+01   4.6714626e-23   3.9313334e-23   4.4355059e-23
   2.3287474e+01   4.6349722e-23   3.8970184e-23   4.4000177e-23
   2.3341175e+01   4.5988154e-23   3.8630447e-23   4.3648624e-23
   2.3395000e+01   4.5629885e-23   3.8294087e-23   4.3300364e-23
   2.3448949e+01   4.5274884e-23   3.7961070e-23   4.2955362e-23
   2.3503022e+01   4.4923114e-23   3.7631361e-23   4.2613583e-23
   2.3557220e+01   4.4574544e-23   3.7304925e-23   4.2274995e-23
   2.3611543e+01   4.4229139e-23   3.6981729e-23   4.1939562e-23
   2.3665992e+01   4.3886868e-23   3.6661740e-23   4.1607253e-23
   2.3720566e+01   4.3547699e-23   3.6344925e-23   4.1278034e-23
